の,212,0.06762360446570972
な,135,0.0430622009569378
し,127,0.0405103668261563
も,125,0.03987240829346093
か,122,0.03891547049441786
は,110,0.03508771929824561
に,95,0.030303030303030304
き,92,0.02934609250398724
と,85,0.02711323763955343
ら,82,0.026156299840510367
み,80,0.025518341307814992
ま,79,0.025199362041467305
る,79,0.025199362041467305
り,78,0.024880382775119617
あ,77,0.02456140350877193
た,72,0.022966507177033493
こ,70,0.022328548644338118
ひ,67,0.021371610845295055
つ,66,0.021052631578947368
く,66,0.021052631578947368
れ,65,0.02073365231259968
を,58,0.01850079744816587
さ,57,0.01818181818181818
ふ,57,0.01818181818181818
け,55,0.017543859649122806
や,53,0.01690590111642743
い,53,0.01690590111642743
よ,51,0.016267942583732056
が,51,0.016267942583732056
お,42,0.013397129186602871
ば,39,0.012440191387559809
む,37,0.011802232854864434
て,35,0.011164274322169059
わ,34,0.010845295055821371
で,31,0.009888357256778309
ぬ,29,0.009250398724082934
ろ,28,0.008931419457735247
ゆ,27,0.00861244019138756
そ,27,0.00861244019138756
ち,27,0.00861244019138756
す,25,0.007974481658692184
へ,23,0.00733652312599681
ほ,22,0.007017543859649123
め,20,0.006379585326953748
ね,20,0.006379585326953748
え,20,0.006379585326953748
だ,18,0.005741626794258373
う,18,0.005741626794258373
ぞ,17,0.005422647527910686
ぢ,16,0.005103668261562998
ぎ,15,0.004784688995215311
ど,14,0.004465709728867623
せ,13,0.004146730462519936
び,12,0.003827751196172249
じ,12,0.003827751196172249
ぐ,11,0.0035087719298245615
づ,11,0.0035087719298245615
ぜ,11,0.0035087719298245615
ぶ,11,0.0035087719298245615
ず,10,0.003189792663476874
ゑ,9,0.0028708133971291866
ざ,8,0.002551834130781499
げ,6,0.0019138755980861245
ご,5,0.001594896331738437
べ,5,0.001594896331738437
ぼ,5,0.001594896331738437
ゐ,3,0.0009569377990430622
